Reference, Quantity, Value, Footprint, Datasheet
BAT1 ,1,3Vbat,ioProto16:BATT_Holder_16mm_MPM-BH600,
C22 ,1,4.7uF,ioProto16:C_0805,
C19 C23 ,2,10uF,ioProto16:C_0805,
C24 ,1,22uF,ioProto16:C_0805,
C25 ,1,10uF,ioProto16:C_1206,
C26 C27 C28 C29 C30 ,5,0.01uF,ioProto16:C_0805,
C1 C10 C11 C12 C13 C14 C15 C16 C17 C18 C2 C20 C21 C3 C31 C4 C5 C6 C7 C8 C9 ,21,0.1uF,ioProto16:C_0805,
D1 D2 D3 D4 D5 ,5,SwitchingDiode,ioProto16:D_SOD-123,
D6 ,1,ESD Protection Diode,ioProto16:SOT-143B,
DISP1 ,1,OLED Display,ioProto16:Display_Header_1x20,
E1 ,1,Quadrature Encoder,ioProto16:ALPS_Encoder,
JB1 JB2 ,2,JumperBlock_1x3,ioProto16:Jumper_Block_1x03_2.54mm,
JB3 JB4 ,2,JumperBlock_1x2,ioProto16:Jumper_Block_1x02_2.54mm,
JB5 ,1,JumperBlock_2x3,ioProto16:Jumper_Block_2x03_2.54mm,
L1 ,1,BLM18PG221SN1D,ioProto16:R_0603,
LED00 LED01 LED02 LED03 LED04 LED05 LED06 LED07 LED08 LED09 LED10 LED11 LED12 LED13 LED14 LED15 ,16,LED_RED,ioProto16:LED_D3.0mm,
LED16 LED17 LED19 LED21 ,4,LED_RED,ioProto16:LED_0805,
LED18 LED20 ,2,LED_GREEN,ioProto16:LED_0805,
MH1 MH10 MH11 MH12 MH13 MH2 MH3 MH4 MH5 MH6 MH7 ,11,mounting_hole_4-40,ioProto16:MountingHole_4-40,
P1 P2 P3 P4 ,4,Connector_2x5,ioProto16:Pin_Header_Angled_2x05_Pitch2.54mm,
P10 ,1,CONN_02X03,ioProto16:Pin_Header_Straight_2x03,
P11 ,1,Atmel_SWD,ioProto16:Pin_Header_Straight_2x05_Pitch1.27mm,
P12 ,1,CONN_01X02,ioProto16:Pin_Header_Straight_1x02_Pitch2.54mm,
P13 ,1,CONN_01X01,ioProto16:Pin_Header_Straight_1x01_Pitch2.54mm,
P5 ,1,Connector_2x5_2mm,ioProto16:Pin_Header_Straight_2x05_2.0mm,
P6 ,1,Connector_2x10,ioProto16:Pin_Header_Angled_2x10_Pitch2.54mm,
P7 ,1,TerminalBlock_3-Pos,ioProto16:TerminalBlock_3pos_2.54mm,
P8 P9 ,2,USB_MICRO_AB,ioProto16:USB_Mirco-B_Molex-105017-0001,
PB1 PB2 PB3 ,3,PushButton_SPST,ioProto16:SW_PUSH_6mm_h4.3mm,
R12 R16 R17 R18 R19 ,5,330R,ioProto16:R_0805,
R13 ,1,30K,ioProto16:R_0805,
R14 ,1,47K,ioProto16:R_0805,
R15 R26 ,2,0R,ioProto16:R_0805,
R20 R21 ,2,1K,ioProto16:R_0805,
R22 R23 ,2,2.2K,ioProto16:R_0805,
R24 R25 ,2,4.7K,ioProto16:R_0805_HandSoldering,
R30 R31 R32 R33 R34 R35 R36 R37 ,8,0R,ioProto16:R_0603,
R1 R10 R11 R2 R3 R4 R5 R6 R7 R8 R9 ,11,10K,ioProto16:R_0805,
REG1 ,1,reg19a,ioProto16:reg19a,
REG2 ,1,RGLTR,ioProto16:SOT-223,
RR1 RR2 ,2,10K,ioProto16:SIP9_Housing,
SW00 SW01 SW02 SW03 SW04 SW05 SW06 SW07 SW08 SW09 SW10 SW11 SW12 SW13 SW14 SW15 ,16,Switch_SPDT_CenterOff,ioProto16:SW_Micro_SPDT,
TP1 TP2 TP3 ,3,TestPoint,ioProto16:Pin_Header_Straight_1x01_Pitch2.54mm,
U10 U9 ,2,TLC5916,ioProto16:SSOP-16_4.4x5.2mm_Pitch0.65mm,
U11 ,1,74HC14,ioProto16:SSOP-14_5.3x6.2mm_Pitch0.65mm,
U1 U12 U13 U2 ,4,74HC165,ioProto16:SSOP-16_4.4x5.2mm_Pitch0.65mm,
U14 ,1,74LAUP1GU04,ioProto16:TSSOP5,
U3 U4 ,2,74HC595,ioProto16:SSOP-16_4.4x5.2mm_Pitch0.65mm,
U5 ,1,47L16_EEPROM,ioProto16:SOIC-8_3.9x4.9mm_Pitch1.27mm,
U6 ,1,DS3231,ioProto16:SOIC-8_3.9x4.9mm_Pitch1.27mm,
U7 ,1,SAM_D21G,ioProto16:TQFP-48_7x7mm_Pitch0.5mm,
U8 ,1,FT232RLSSOP,ioProto16:SSOP-28_5.3x10.2mm_Pitch0.65mm_Narrow,
